EPM2AIP1,EPM2AIP1
LRRFIP2,LRRFIP2
GOLGA4,GOLGA4
DLEC1,DLEC1
ACVR2B,ACVR2B
CX3CR1,CX3CR1
ZNF619,ZNF619
ZNF620,ZNF620
ZNF621,ZNF621
ULK4,ULK4
ABHD5,ABHD5
ZNF852,ZNF852
TMEM42,TMEM42
FYCO1,FYCO1
CXCR6,CXCR6
CCR2,CCR2
CCR5,CCR5
LRRC2,LRRC2
NBEAL2,NBEAL2
ZNF589,ZNF589
ARIH2OS,ARIH2OS
P4HTM,P4HTM
USP19,USP19
RNF123,RNF123
IP6K1,IP6K1
CYB561D2.1,CYB561D2.1
C3orf18,C3orf18
CISH,CISH
RAD54L2,RAD54L2
PARP3,PARP3
GLYCTK,GLYCTK
DNAH1,DNAH1
BAP1,BAP1
NEK4,NEK4
SFMBT1,SFMBT1
PDE12,PDE12
ARF4-AS1,ARF4-AS1
DENND6A,DENND6A
DNASE1L3,DNASE1L3
FHIT,FHIT
LRIG1,LRIG1
EOGT,EOGT
EIF4E3,EIF4E3
ZNF654,ZNF654
NSUN3,NSUN3
MTRNR2L12,MTRNR2L12
ARL6,ARL6
CLDND1,CLDND1
CMSS1,CMSS1
ZBTB11,ZBTB11
CEP97,CEP97
NFKBIZ,NFKBIZ
CBLB,CBLB
DZIP3,DZIP3
TRAT1,TRAT1
CD96,CD96
PHLDB2,PHLDB2
GCSAM,GCSAM
BTLA,BTLA
SLC35A5,SLC35A5
CD200R1,CD200R1
SPICE1,SPICE1
USF3,USF3
CCDC191,CCDC191
ZNF80,ZNF80
TIGIT,TIGIT
B4GALT4,B4GALT4
TMEM39A,TMEM39A
POGLUT1,POGLUT1
RABL3,RABL3
GTF2E1,GTF2E1
CSTA,CSTA
WDR5B,WDR5B
PARP15,PARP15
MYLK-AS1,MYLK-AS1
TPRA1,TPRA1
MCM2,MCM2
MGLL,MGLL
HMCES,HMCES
H1FX,H1FX
TRH,TRH
PIK3R4,PIK3R4
ACAD11,ACAD11
NPHP3,NPHP3
TOPBP1,TOPBP1
RYK,RYK
DBR1,DBR1
CEP70,CEP70
FAIM,FAIM
PIK3CB,PIK3CB
PXYLP1,PXYLP1
GK5,GK5
ATR,ATR
HLTF,HLTF
PFN2,PFN2
TSC22D2,TSC22D2
ERICH6-AS1,ERICH6-AS1
GPR171,GPR171
C3orf33,C3orf33
TIPARP-AS1,TIPARP-AS1
TIPARP,TIPARP
MLF1,MLF1
LXN,LXN
SMC4,SMC4
TRIM59,TRIM59
SPTSSB,SPTSSB
SERPINI1,SERPINI1
SKIL,SKIL
EIF5A2,EIF5A2
TNIK,TNIK
FNDC3B,FNDC3B
TNFSF10,TNFSF10
ZMAT3,ZMAT3
PIK3CA,PIK3CA
MFN1,MFN1
YEATS2,YEATS2
ABCC5,ABCC5
SENP2,SENP2
TBCCD1,TBCCD1
RTP4,RTP4
TPRG1,TPRG1
CCDC50,CCDC50
ATP13A4,ATP13A4
TMEM44-AS1,TMEM44-AS1
TNK2,TNK2
TFRC,TFRC
TCTEX1D2,TCTEX1D2
WDR53,WDR53
PIGX,PIGX
CEP19,CEP19
DLG1,DLG1
BDH1,BDH1
RUBCN,RUBCN
ZNF595,ZNF595
ZNF718,ZNF718
ZNF141,ZNF141
PIGG,PIGG
PDE6B,PDE6B
DGKQ,DGKQ
FGFRL1,FGFRL1
SPON2,SPON2
TMEM129,TMEM129
HAUS3,HAUS3
ZFYVE28,ZFYVE28
FAM193A,FAM193A
NOP14-AS1,NOP14-AS1
NOP14,NOP14
LYAR,LYAR
ZBTB49,ZBTB49
NSG1,NSG1
STX18-AS1,STX18-AS1
JAKMIP1,JAKMIP1
TADA2B,TADA2B
AFAP1,AFAP1
TRMT44,TRMT44
ZNF518B,ZNF518B
CLNK,CLNK
CPEB2,CPEB2
CD38,CD38
FGFBP2,FGFBP2
LDB2,LDB2
DCAF16,DCAF16
SEPSECS-AS1,SEPSECS-AS1
PI4K2B,PI4K2B
ZCCHC4,ZCCHC4
ANAPC4,ANAPC4
SEL1L3,SEL1L3
TBC1D19,TBC1D19
ARAP2,ARAP2
DTHD1,DTHD1
WDR19,WDR19
N4BP2,N4BP2
ATP8A1,ATP8A1
GUF1,GUF1
GNPDA2,GNPDA2
NFXL1,NFXL1
TXK,TXK
DCUN1D4,DCUN1D4
CLOCK,CLOCK
CEP135,CEP135
AASDH,AASDH
PPAT,PPAT
HOPX,HOPX
SPINK2,SPINK2
UBA6-AS1,UBA6-AS1
JCHAIN,JCHAIN
SLC4A4,SLC4A4
CXCL8,CXCL8
AREG,AREG
THAP6,THAP6
PRDM8,PRDM8
RASGEF1B,RASGEF1B
LIN54,LIN54
PLAC8,PLAC8
NUDT9,NUDT9
SPP1,SPP1
HERC6,HERC6
HERC5,HERC5
HERC3,HERC3
NAP1L5,NAP1L5
FAM13A,FAM13A
SMARCAD1,SMARCAD1
TSPAN5,TSPAN5
TRMT10A,TRMT10A
BANK1,BANK1
SLC39A8,SLC39A8
SLC9B2,SLC9B2
BDH2,BDH2
CENPE,CENPE
GSTCD,GSTCD
TBCK,TBCK
LEF1,LEF1
SEC24B,SEC24B
ELOVL6,ELOVL6
AP1AR,AP1AR
SEC24D,SEC24D
MAD2L1,MAD2L1
TNIP3,TNIP3
IL2,IL2
SPATA5,SPATA5
SPRY1,SPRY1
MFSD8,MFSD8
LARP1B,LARP1B
RAB33B,RAB33B
ELMOD2,ELMOD2
INPP4B,INPP4B
USP38,USP38
OTUD4,OTUD4
MMAA,MMAA
ZNF827,ZNF827
SLC10A7,SLC10A7
PRMT9,PRMT9
ARHGAP10,ARHGAP10
NR3C2,NR3C2
FBXW7,FBXW7
MAP9,MAP9
C4orf46,C4orf46
ETFDH,ETFDH
NAF1,NAF1
TRIM61,TRIM61
DDX60,DDX60
CBR4,CBR4
NEK1,NEK1
CEP44,CEP44
HPGD,HPGD
ING2,ING2
CASP3,CASP3
PRIMPOL,PRIMPOL
SLC25A4,SLC25A4
SNX25,SNX25
CYP4V2,CYP4V2
CCDC127,CCDC127
EXOC3-AS1,EXOC3-AS1
CEP72,CEP72
LPCAT1,LPCAT1
FAM173B,FAM173B
BASP1,BASP1
DROSHA,DROSHA
C5orf22,C5orf22
RAD1,RAD1
SPEF2,SPEF2
IL7R,IL7R
LMBRD2,LMBRD2
NADK2,NADK2
NUP155,NUP155
TTC33,TTC33
FBXO4,FBXO4
CCDC152,CCDC152
ANXA2R,ANXA2R
HMGCS1,HMGCS1
CCL28,CCL28
NNT-AS1,NNT-AS1
PARP8,PARP8
ITGA1,ITGA1
PELO,PELO
ARL15,ARL15
ESM1,ESM1
GZMK,GZMK
GZMA,GZMA
IL6ST,IL6ST
ANKRD55,ANKRD55
MIER3,MIER3
GAPT,GAPT
PDE4D,PDE4D
IPO11,IPO11
ADAMTS6,ADAMTS6
CENPK,CENPK
TRIM23,TRIM23
TRAPPC13,TRAPPC13
MAST4,MAST4
PIK3R1,PIK3R1
MARVELD2,MARVELD2
GTF2H2C,GTF2H2C
UTP15,UTP15
ENC1,ENC1
FAM169A,FAM169A
GCNT4,GCNT4
POC5,POC5
F2R,F2R
F2RL1,F2RL1
SCAMP1-AS1,SCAMP1-AS1
JMY,JMY
MTX3,MTX3
DHFR,DHFR
RASGRF2,RASGRF2
CKMT2-AS1,CKMT2-AS1
VCAN,VCAN
TMEM161B,TMEM161B
TMEM161B-AS1,TMEM161B-AS1
MEF2C,MEF2C
CETN3,CETN3
LYSMD3,LYSMD3
ARRDC3,ARRDC3
FAM172A,FAM172A
KIAA0825,KIAA0825
SLF1,SLF1
ARSK,ARSK
RFESD,RFESD
PAM,PAM
GIN1,GIN1
CAMK4,CAMK4
APC,APC
MCC,MCC
CEP120,CEP120
CSNK1G3,CSNK1G3
LMNB1,LMNB1
MARCH3,MARCH3
C5orf63,C5orf63
SLC12A2,SLC12A2
ACSL6,ACSL6
IRF1,IRF1
KIF3A,KIF3A
TCF7,TCF7
SEC24A,SEC24A
TGFBI,TGFBI
SMAD5,SMAD5
KLHL3,KLHL3
BRD8,BRD8
CDC23,CDC23
FAM53C,FAM53C
EGR1,EGR1
MZB1,MZB1
SPATA24,SPATA24
DNAJC18,DNAJC18
CXXC5,CXXC5
CD14,CD14
RELL2,RELL2
RBM27,RBM27
PPP2R2B,PPP2R2B
JAKMIP2,JAKMIP2
ADRB2,ADRB2
SLC26A2,SLC26A2
HMGXB3,HMGXB3
CSF1R,CSF1R
CD74,CD74
SLC36A1,SLC36A1
FAM114A2,FAM114A2
GALNT10,GALNT10
GEMIN5,GEMIN5
MED7,MED7
ITK,ITK
ADAM19,ADAM19
PWWP2A,PWWP2A
PTTG1,PTTG1
MIR3142HG,MIR3142HG
SPDL1,SPDL1
DUSP1,DUSP1
SIMC1,SIMC1
ARL10,ARL10
ZNF346,ZNF346
DBN1,DBN1
FAM193B,FAM193B
FAM153A,FAM153A
ZNF354A,ZNF354A
ZNF879,ZNF879
RNF130,RNF130
CNOT6,CNOT6
ZFP62,ZFP62
TRIM41,TRIM41
IRF4,IRF4
WRNIP1,WRNIP1
LINC01011,LINC01011
RIPK1,RIPK1
F13A1,F13A1
LY86,LY86
ADTRP,ADTRP
HIVEP1,HIVEP1
GFOD1,GFOD1
SIRT5,SIRT5
CD83,CD83
FAM8A1,FAM8A1
MBOAT1,MBOAT1
E2F3,E2F3
CDKAL1,CDKAL1
SOX4,SOX4
ALDH5A1,ALDH5A1
GMNN,GMNN
HIST1H1C,HIST1H1C
HIST1H4C,HIST1H4C
HIST1H2BC,HIST1H2BC
HIST1H2AC,HIST1H2AC
HIST1H1E,HIST1H1E
HIST1H2BG,HIST1H2BG
HIST1H1D,HIST1H1D
HIST1H4H,HIST1H4H
BTN2A2,BTN2A2
HCG11,HCG11
ZNF322,ZNF322
HIST1H2AG,HIST1H2AG
PRSS16,PRSS16
ZNF184,ZNF184
HIST1H2BN,HIST1H2BN
ZKSCAN8,ZKSCAN8
ZSCAN26,ZSCAN26
TRIM39,TRIM39
C6orf136,C6orf136
DHX16,DHX16
MDC1,MDC1
IER3,IER3
LINC00243,LINC00243
CCHCR1,CCHCR1
TCF19,TCF19
MICA,MICA
MICB,MICB
LTA,LTA
TNF,TNF
LTB,LTB
LST1,LST1
NCR3,NCR3
AIF1,AIF1
LY6G5C,LY6G5C
HSPA1L,HSPA1L
EHMT2,EHMT2
DXO,DXO
AGER,AGER
HLA-DRA,HLA-DRA
HLA-DRB5,HLA-DRB5
HLA-DRB1,HLA-DRB1
HLA-DQA1,HLA-DQA1
HLA-DQB1,HLA-DQB1
TAP2,TAP2
HLA-DMB,HLA-DMB
HLA-DMA,HLA-DMA
HLA-DPA1,HLA-DPA1
HLA-DPB1,HLA-DPB1
PHF1,PHF1
SYNGAP1,SYNGAP1
ITPR3,ITPR3
PACSIN1,PACSIN1
MAPK13,MAPK13
STK38,STK38
CDKN1A,CDKN1A
PI16,PI16
PIM1,PIM1
RNF8,RNF8
CMTR1,CMTR1
MDGA1,MDGA1
BTBD9,BTBD9
SAYSD1,SAYSD1
TREM2,TREM2
TRERF1,TRERF1
KLC4,KLC4
CUL9,CUL9
ZNF318,ZNF318
POLH,POLH
RUNX2,RUNX2
CLIC5,CLIC5
ENPP4,ENPP4
ENPP5,ENPP5
RCAN2,RCAN2
MUT,MUT
CENPQ,CENPQ
PAQR8,PAQR8
TRAM2,TRAM2
ICK,ICK
KIAA1586,KIAA1586
BAG2,BAG2
PRIM2,PRIM2
DDX43,DDX43
EEF1A1,EEF1A1
SLC17A5,SLC17A5
MYO6,MYO6
IRAK1BP1,IRAK1BP1
BCKDHB,BCKDHB
UBE3D,UBE3D
DOPEY1,DOPEY1
PGM3,PGM3
RWDD2A,RWDD2A
CEP162,CEP162
NT5E,NT5E
SMIM8,SMIM8
PM20D2,PM20D2
MDN1,MDN1
BACH2,BACH2
MANEA,MANEA
KLHL32,KLHL32
MMS22L,MMS22L
COQ3,COQ3
USP45,USP45
TSTD3,TSTD3
ASCC3,ASCC3
PRDM1,PRDM1
RTN4IP1,RTN4IP1
CD24,CD24
PDSS2,PDSS2
FOXO3,FOXO3
SESN1,SESN1
CEP57L1,CEP57L1
AK9,AK9
REV3L,REV3L
TRAF3IP2-AS1,TRAF3IP2-AS1
TRAF3IP2,TRAF3IP2
FYN,FYN
TUBE1,TUBE1
MARCKS,MARCKS
TSPYL4,TSPYL4
DCBLD1,DCBLD1
TBC1D32,TBC1D32
HSF2,HSF2
TRMT11,TRMT11
THEMIS,THEMIS
L3MBTL3,L3MBTL3
SAMD3,SAMD3
TMEM200A,TMEM200A
MED23,MED23
VNN2,VNN2
SGK1,SGK1
AHI1,AHI1
MAP3K5,MAP3K5
IFNGR1,IFNGR1
TNFAIP3,TNFAIP3
